Date,Process CPU usage,Process memory usage,Request count,Reponse time
2022-10-21 12:00,3.83,6.26,316e3,198e-3
2022-10-21 13:00,5.01,6.27,436e3,252e-3
2022-10-21 14:00,4.38,6.29,376e3,230e-3
2022-10-21 15:00,4.34,6.29,378e3,200e-3
2022-10-21 16:00,3.77,6.30,312e3,191e-3
2022-10-21 17:00,4.16,6.30,363e3,206e-3
2022-10-21 18:00,3.47,6.30,284e3,254e-3
2022-10-21 19:00,3.27,6.30,307e3,297e-3
2022-10-21 20:00,4.21,6.30,429e3,212e-3
2022-10-21 21:00,3.49,6.30,306e3,190e-3
2022-10-21 22:00,3.34,6.30,283e3,192e-3
2022-10-21 23:00,3.86,6.30,363e3,178e-3
2022-10-22 00:00,3.90,6.29,372e3,308e-3
2022-10-22 01:00,3.35,6.29,293e3,196e-3
2022-10-22 02:00,3.21,6.29,284e3,189e-3
2022-10-22 03:00,3.76,6.29,348e3,197e-3
2022-10-22 04:00,3.34,6.30,293e3,200e-3
2022-10-22 05:00,3.37,6.29,288e3,233e-3
2022-10-22 06:00,3.76,6.35,351e3,516e-3
2022-10-22 07:00,3.94,6.36,432e3,177e-3
2022-10-22 08:00,4.81,6.36,683e3,125e-3
2022-10-22 09:00,3.74,6.36,361e3,172e-3
2022-10-22 10:00,3.42,6.36,306e3,178e-3
2022-10-22 11:00,3.62,6.37,383e3,169e-3
2022-10-22 12:00,3.23,6.37,302e3,184e-3
2022-10-22 13:00,4.29,6.36,433e3,233e-3
2022-10-22 14:00,3.83,6.36,373e3,193e-3
2022-10-22 15:00,3.61,6.36,367e3,188e-3
2022-10-22 16:00,3.31,6.36,311e3,179e-3
2022-10-22 17:00,3.62,6.37,359e3,188e-3
2022-10-22 18:00,3.04,6.37,283e3,184e-3
2022-10-22 19:00,3.35,6.36,370e3,183e-3
2022-10-22 20:00,3.31,6.36,367e3,171e-3
2022-10-22 21:00,3.23,6.37,309e3,176e-3
2022-10-22 22:00,3.01,6.37,286e3,179e-3
2022-10-22 23:00,3.52,6.37,365e3,167e-3
2022-10-23 00:00,3.57,6.36,370e3,309e-3
2022-10-23 01:00,3.24,6.37,294e3,184e-3
2022-10-23 02:00,3.11,6.37,283e3,182e-3
2022-10-23 03:00,3.60,6.37,350e3,191e-3
2022-10-23 04:00,3.24,6.37,293e3,191e-3
2022-10-23 05:00,3.31,6.36,286e3,203e-3
2022-10-23 06:00,3.31,6.37,294e3,226e-3
2022-10-23 07:00,3.83,6.37,433e3,172e-3
2022-10-23 08:00,4.41,6.37,677e3,122e-3
2022-10-23 09:00,3.66,6.36,360e3,168e-3
2022-10-23 10:00,3.34,6.37,300e3,175e-3
2022-10-23 11:00,3.84,6.37,380e3,171e-3
2022-10-23 12:00,3.21,6.37,298e3,184e-3
2022-10-23 13:00,4.23,6.36,425e3,273e-3
2022-10-23 14:00,3.86,6.37,369e3,194e-3
2022-10-23 15:00,3.69,6.37,370e3,186e-3
2022-10-23 16:00,3.33,6.37,308e3,178e-3
2022-10-23 17:00,3.74,6.37,358e3,187e-3
2022-10-23 18:00,3.14,6.37,280e3,181e-3
2022-10-23 19:00,3.56,6.37,362e3,187e-3
2022-10-23 20:00,3.52,6.37,370e3,169e-3
2022-10-23 21:00,3.47,6.37,305e3,185e-3
2022-10-23 22:00,3.29,6.37,280e3,188e-3
2022-10-23 23:00,3.99,6.37,369e3,177e-3
2022-10-24 00:00,4.07,6.37,369e3,314e-3
2022-10-24 01:00,3.55,6.37,289e3,196e-3
2022-10-24 02:00,3.44,6.37,281e3,189e-3
2022-10-24 03:00,3.97,6.38,341e3,202e-3
2022-10-24 04:00,3.55,6.37,294e3,204e-3
2022-10-24 05:00,3.47,6.38,285e3,226e-3
2022-10-24 06:00,3.87,6.39,351e3,391e-3
2022-10-24 07:00,4.00,6.39,431e3,179e-3
2022-10-24 08:00,4.80,6.39,671e3,126e-3
2022-10-24 09:00,3.93,6.39,357e3,178e-3
2022-10-24 10:00,3.55,6.39,299e3,184e-3
2022-10-24 11:00,4.11,6.39,372e3,184e-3
2022-10-24 12:00,3.45,6.38,300e3,197e-3
2022-10-24 13:00,4.43,6.39,415e3,277e-3
2022-10-24 14:00,3.95,6.38,359e3,217e-3
2022-10-24 15:00,3.93,6.39,365e3,207e-3
2022-10-24 16:00,3.60,6.39,309e3,212e-3
2022-10-24 17:00,4.22,6.40,364e3,205e-3
2022-10-24 18:00,3.57,6.40,294e3,193e-3
2022-10-24 19:00,4.08,6.40,374e3,194e-3
2022-10-24 20:00,3.75,6.39,369e3,183e-3
2022-10-24 21:00,3.54,6.39,306e3,215e-3
2022-10-24 22:00,3.41,6.39,281e3,193e-3
2022-10-24 23:00,3.95,6.39,359e3,182e-3
2022-10-25 00:00,4.05,6.39,369e3,317e-3
2022-10-25 01:00,3.71,6.39,301e3,191e-3
2022-10-25 02:00,3.53,6.39,288e3,195e-3
2022-10-25 03:00,4.14,6.39,354e3,196e-3
2022-10-25 04:00,4.01,5.74,313e3,203e-3
2022-10-25 05:00,3.07,4.48,314e3,200e-3
2022-10-25 06:00,2.97,5.09,408e3,405e-3
2022-10-25 07:00,2.63,5.15,428e3,142e-3
2022-10-25 08:00,3.44,5.20,691e3,118e-3
2022-10-25 09:00,2.87,5.21,368e3,148e-3
2022-10-25 10:00,4.58,5.22,326e3,193e-3
2022-10-25 11:00,5.00,5.22,399e3,182e-3
2022-10-25 12:00,4.03,5.22,302e3,198e-3
2022-10-25 13:00,5.29,5.22,423e3,354e-3
2022-10-25 14:00,4.26,5.22,355e3,225e-3
2022-10-25 15:00,4.18,5.22,366e3,198e-3
2022-10-25 16:00,4.34,5.22,302e3,195e-3
2022-10-25 17:00,4.09,5.22,363e3,194e-3
2022-10-25 18:00,3.48,5.22,293e3,190e-3
2022-10-25 19:00,3.82,5.22,382e3,190e-3
2022-10-25 20:00,3.69,5.22,380e3,183e-3
2022-10-25 21:00,3.54,5.22,318e3,182e-3
2022-10-25 22:00,3.36,5.22,284e3,193e-3
2022-10-25 23:00,4.46,5.22,360e3,183e-3
2022-10-26 00:00,4.78,5.22,366e3,301e-3
2022-10-26 01:00,3.60,5.22,305e3,190e-3
2022-10-26 02:00,3.72,5.22,341e3,176e-3
2022-10-26 03:00,4.12,5.22,360e3,201e-3
2022-10-26 04:00,4.04,5.22,336e3,212e-3
2022-10-26 05:00,4.01,5.21,287e3,223e-3
2022-10-26 06:00,4.45,5.22,382e3,391e-3
2022-10-26 07:00,4.51,5.22,461e3,190e-3
2022-10-26 08:00,4.85,5.23,652e3,156e-3
2022-10-26 09:00,3.92,5.23,342e3,188e-3
2022-10-26 10:00,3.56,5.23,293e3,201e-3
2022-10-26 11:00,4.34,5.23,373e3,185e-3
2022-10-26 12:00,3.71,5.24,301e3,186e-3
2022-10-26 13:00,4.07,5.24,385e3,321e-3
2022-10-26 14:00,3.98,5.23,362e3,320e-3
2022-10-26 15:00,4.11,5.23,390e3,232e-3
2022-10-26 16:00,3.56,5.23,305e3,197e-3
2022-10-26 17:00,3.99,5.24,368e3,188e-3
2022-10-26 18:00,3.53,5.24,301e3,189e-3
2022-10-26 19:00,3.86,5.24,372e3,190e-3
2022-10-26 20:00,3.62,5.24,375e3,180e-3
2022-10-26 21:00,3.48,5.24,313e3,185e-3
2022-10-26 22:00,3.20,5.24,293e3,189e-3
2022-10-26 23:00,3.68,5.24,368e3,173e-3
2022-10-27 00:00,3.79,5.23,373e3,318e-3
2022-10-27 01:00,3.46,5.23,307e3,188e-3
2022-10-27 02:00,3.42,5.23,303e3,188e-3
2022-10-27 03:00,4.53,5.23,379e3,188e-3
2022-10-27 04:00,9.39,5.24,537e3,384e-3
2022-10-27 05:00,8.03,5.24,466e3,336e-3
2022-10-27 06:00,3.97,5.25,361e3,700e-3
2022-10-27 07:00,5.10,5.25,486e3,838e-3
2022-10-27 08:00,5.29,5.25,681e3,134e-3
2022-10-27 09:00,3.53,3.89,332e3,151e-3
2022-10-27 10:00,4.07,2.00,391e3,192e-3
2022-10-27 11:00,4.00,2.12,398e3,169e-3
2022-10-27 12:00,6.20,2.33,479e3,302e-3
2022-10-27 13:00,6.39,2.49,538e3,268e-3
2022-10-27 14:00,4.04,2.45,381e3,200e-3
2022-10-27 15:00,3.97,2.45,369e3,184e-3
2022-10-27 16:00,3.57,2.45,312e3,196e-3
2022-10-27 17:00,3.98,2.45,355e3,217e-3
2022-10-27 18:00,3.16,2.45,271e3,194e-3
2022-10-27 19:00,4.09,2.45,385e3,276e-3
2022-10-27 20:00,3.71,2.45,376e3,194e-3
2022-10-27 21:00,3.65,2.45,309e3,194e-3
2022-10-27 22:00,3.29,2.45,284e3,235e-3
2022-10-27 23:00,3.98,2.45,360e3,222e-3
2022-10-28 00:00,4.30,2.45,393e3,322e-3
2022-10-28 01:00,3.47,2.40,303e3,252e-3
2022-10-28 02:00,3.37,2.10,300e3,204e-3
2022-10-28 03:00,3.90,2.12,373e3,223e-3
2022-10-28 04:00,3.77,2.27,333e3,204e-3
2022-10-28 05:00,4.15,2.31,361e3,260e-3
2022-10-28 06:00,4.17,2.37,411e3,408e-3
2022-10-28 07:00,4.47,2.39,474e3,209e-3
2022-10-28 08:00,5.46,2.42,700e3,141e-3
2022-10-28 09:00,4.29,2.42,380e3,223e-3
2022-10-28 10:00,4.15,2.43,344e3,208e-3
2022-10-28 11:00,4.35,2.42,402e3,224e-3
2022-10-28 12:00,3.73,2.43,343e3,176e-3
