Date,Process CPU usage,Process memory usage,Request count,Response time
2022-10-22 13:00,0.07,0.92,96.6e3,854
2022-10-22 14:00,0.07,0.92,95.8e3,905
2022-10-22 15:00,0.07,0.92,97.8e3,946
2022-10-22 16:00,0.07,0.92,96.2e3,977
2022-10-22 17:00,0.07,0.92,96.1e3,983
2022-10-22 18:00,0.07,0.92,96.3e3,922
2022-10-22 19:00,0.07,0.92,97.2e3,1.02e3
2022-10-22 20:00,0.07,0.92,95.6e3,1e3
2022-10-22 21:00,0.07,0.92,97.1e3,976
2022-10-22 22:00,0.07,0.92,95.9e3,1.04e3
2022-10-22 23:00,0.07,0.92,96.9e3,1.1e3
2022-10-23 00:00,0.07,0.92,96.1e3,1.06e3
2022-10-23 01:00,0.07,0.92,96.3e3,1.03e3
2022-10-23 02:00,0.07,0.92,97.7e3,1.02e3
2022-10-23 03:00,0.07,0.92,97.6e3,1.04e3
2022-10-23 04:00,0.07,0.92,95.8e3,1.21e3
2022-10-23 05:00,0.07,0.92,97.1e3,1.16e3
2022-10-23 06:00,0.07,0.92,95.3e3,3.97e3
2022-10-23 07:00,0.07,0.92,96.1e3,802
2022-10-23 08:00,0.07,0.92,99.6e3,1.26e3
2022-10-23 09:00,0.07,0.92,95.4e3,825
2022-10-23 10:00,0.07,0.92,96.6e3,951
2022-10-23 11:00,0.07,0.92,96.2e3,931
2022-10-23 12:00,0.07,0.92,96.7e3,834
2022-10-23 13:00,0.07,0.92,96.7e3,834
2022-10-23 14:00,0.07,0.92,96e3,1.02e3
2022-10-23 15:00,0.07,0.92,97.4e3,915
2022-10-23 16:00,0.07,0.92,96.8e3,923
2022-10-23 17:00,0.07,0.92,96.3e3,847
2022-10-23 18:00,0.07,0.92,97e3,858
2022-10-23 19:00,0.07,0.92,97.1e3,811
2022-10-23 20:00,0.07,0.92,96.3e3,906
2022-10-23 21:00,0.07,0.92,96.8e3,870
2022-10-23 22:00,0.07,0.92,96.7e3,861
2022-10-23 23:00,0.08,0.92,97.1e3,835
2022-10-24 00:00,0.07,0.93,97.4e3,825
2022-10-24 01:00,0.07,0.93,96.4e3,842
2022-10-24 02:00,0.07,0.92,96.7e3,842
2022-10-24 03:00,0.07,0.93,98e3,769
2022-10-24 04:00,0.07,0.92,96.3e3,919
2022-10-24 05:00,0.07,0.93,96.9e3,815
2022-10-24 06:00,0.07,0.93,96.6e3,893
2022-10-24 07:00,0.07,0.93,96.5e3,846
2022-10-24 08:00,0.07,0.93,99.8e3,1.3e3
2022-10-24 09:00,0.07,0.93,95.9e3,821
2022-10-24 10:00,0.07,0.93,96.7e3,824
2022-10-24 11:00,0.07,0.93,96.9e3,851
2022-10-24 12:00,0.07,0.93,96.6e3,871
2022-10-24 13:00,0.07,0.93,97.2e3,931
2022-10-24 14:00,0.07,0.93,96.9e3,936
2022-10-24 15:00,0.08,0.93,98.4e3,933
2022-10-24 16:00,0.07,0.93,97.6e3,970
2022-10-24 17:00,0.07,0.93,97.9e3,1.01e3
2022-10-24 18:00,0.07,0.93,97.6e3,1e3
2022-10-24 19:00,0.07,0.93,97.5e3,925
2022-10-24 20:00,0.07,0.93,97.5e3,957
2022-10-24 21:00,0.07,0.93,97.6e3,954
2022-10-24 22:00,0.07,0.93,97.6e3,951
2022-10-24 23:00,0.07,0.93,97.6e3,945
2022-10-25 00:00,0.07,0.93,98.1e3,924
2022-10-25 01:00,0.07,0.93,97.7e3,982
2022-10-25 02:00,0.07,0.93,98.1e3,948
2022-10-25 03:00,0.07,0.93,99.1e3,983
2022-10-25 04:00,0.07,0.93,97.7e3,1.03e3
2022-10-25 05:00,0.07,0.93,98.8e3,1000
2022-10-25 06:00,0.08,0.93,99.4e3,982
2022-10-25 07:00,0.07,0.93,98.9e3,1.04e3
2022-10-25 08:00,0.08,0.93,102e3,1.73e3
2022-10-25 09:00,0.07,0.93,98.2e3,1.03e3
2022-10-25 10:00,0.07,0.93,99.1e3,960
2022-10-25 11:00,0.08,0.93,98.6e3,916
2022-10-25 12:00,0.08,0.93,99.4e3,941
2022-10-25 13:00,0.08,0.93,99.8e3,1.06e3
2022-10-25 14:00,0.07,0.93,99.1e3,1.04e3
2022-10-25 15:00,0.08,0.93,101e3,984
2022-10-25 16:00,0.07,0.93,99.7e3,1e3
2022-10-25 17:00,0.07,0.93,98.1e3,850
2022-10-25 18:00,0.07,0.93,99.1e3,846
2022-10-25 19:00,0.07,0.93,99e3,855
2022-10-25 20:00,0.07,0.93,99.7e3,853
2022-10-25 21:00,0.07,0.93,99e3,818
2022-10-25 22:00,0.07,0.93,99.2e3,862
2022-10-25 23:00,0.07,0.93,99.9e3,865
2022-10-26 00:00,0.07,0.93,99.4e3,926
2022-10-26 01:00,0.07,0.93,98.7e3,873
2022-10-26 02:00,0.07,0.93,99.3e3,988
2022-10-26 03:00,0.07,0.93,100e3,917
2022-10-26 04:00,0.07,0.93,98.8e3,954
2022-10-26 05:00,0.07,0.93,100e3,916
2022-10-26 06:00,0.07,0.93,99.3e3,911
2022-10-26 07:00,0.08,0.93,99e3,977
2022-10-26 08:00,0.08,0.93,102e3,1.43e3
2022-10-26 09:00,0.08,0.93,98.2e3,887
2022-10-26 10:00,0.08,0.93,99.4e3,856
2022-10-26 11:00,0.08,0.93,99.2e3,869
2022-10-26 12:00,0.09,0.93,100e3,883
2022-10-26 13:00,0.08,0.93,99.5e3,887
2022-10-26 14:00,0.07,0.93,99.9e3,927
2022-10-26 15:00,0.08,0.93,101e3,883
2022-10-26 16:00,0.07,0.93,99.7e3,865
2022-10-26 17:00,0.07,0.93,99.4e3,776
2022-10-26 18:00,0.08,0.93,100e3,856
2022-10-26 19:00,0.09,0.93,100e3,882
2022-10-26 20:00,0.10,0.93,100e3,881
2022-10-26 21:00,0.08,0.93,99.8e3,854
2022-10-26 22:00,0.07,0.93,99.8e3,848
2022-10-26 23:00,0.08,0.93,101e3,854
2022-10-27 00:00,0.08,0.93,100e3,877
2022-10-27 01:00,0.09,0.93,99.7e3,912
2022-10-27 02:00,0.10,0.93,101e3,922
2022-10-27 03:00,0.10,0.94,102e3,927
2022-10-27 04:00,0.07,0.94,99.9e3,965
2022-10-27 05:00,0.07,0.94,100e3,1.67e3
2022-10-27 06:00,0.07,0.94,100e3,1e3
2022-10-27 07:00,0.08,0.94,101e3,994
2022-10-27 08:00,0.08,0.94,109e3,1.51e3
2022-10-27 09:00,0.07,0.94,100e3,992
2022-10-27 10:00,0.07,0.94,101e3,1.11e3
2022-10-27 11:00,0.07,0.94,101e3,1.16e3
2022-10-27 12:00,0.08,0.94,102e3,1.11e3
2022-10-27 13:00,0.08,0.94,103e3,1.08e3
2022-10-27 14:00,0.08,0.94,104e3,1.07e3
2022-10-27 15:00,0.08,0.94,104e3,1.05e3
2022-10-27 16:00,0.08,0.94,104e3,1.15e3
2022-10-27 17:00,0.07,0.94,103e3,1.19e3
2022-10-27 18:00,0.08,0.94,104e3,1.09e3
2022-10-27 19:00,0.08,0.94,104e3,1.06e3
2022-10-27 20:00,0.08,0.94,103e3,1.02e3
2022-10-27 21:00,0.07,0.94,103e3,1.1e3
2022-10-27 22:00,0.07,0.94,103e3,1.01e3
2022-10-27 23:00,0.08,0.94,104e3,982
2022-10-28 00:00,0.09,0.94,106e3,1.02e3
2022-10-28 01:00,0.08,0.94,104e3,1.1e3
2022-10-28 02:00,0.10,0.94,105e3,1.18e3
2022-10-28 03:00,0.09,0.95,105e3,967
2022-10-28 04:00,0.09,0.95,105e3,953
2022-10-28 05:00,0.09,0.95,105e3,903
2022-10-28 06:00,0.08,0.95,104e3,854
2022-10-28 07:00,0.08,0.95,105e3,850
2022-10-28 08:00,0.09,0.95,108e3,1.72e3
2022-10-28 09:00,0.08,0.95,104e3,824
2022-10-28 10:00,0.09,0.95,105e3,759
2022-10-28 11:00,0.09,0.95,105e3,844
2022-10-28 12:00,0.08,0.96,104e3,924
2022-10-28 13:00,0.08,0.96,105e3,1.13e3
2022-10-28 14:00,0.08,0.96,105e3,1.05e3
2022-10-28 15:00,0.08,0.96,106e3,1.18e3
2022-10-28 16:00,0.08,0.96,105e3,1.06e3
2022-10-28 17:00,0.08,0.96,104e3,984
2022-10-28 18:00,0.08,0.96,106e3,973
2022-10-28 19:00,0.08,0.96,106e3,1.07e3
2022-10-28 20:00,0.08,0.96,105e3,929
2022-10-28 21:00,0.08,0.96,105e3,873
2022-10-28 22:00,0.08,0.97,105e3,936
2022-10-28 23:00,0.09,0.97,106e3,908
2022-10-29 00:00,0.08,0.97,106e3,855
2022-10-29 01:00,0.08,0.97,104e3,914
2022-10-29 02:00,0.08,0.97,106e3,877
2022-10-29 03:00,0.08,0.97,108e3,904
2022-10-29 04:00,0.08,0.97,106e3,936
2022-10-29 05:00,0.09,0.97,107e3,1.01e3
2022-10-29 06:00,0.08,0.97,106e3,918
2022-10-29 07:00,0.09,0.97,106e3,1e3
2022-10-29 08:00,0.09,0.97,109e3,1.45e3
2022-10-29 09:00,0.08,0.97,106e3,889
2022-10-29 10:00,0.09,0.97,107e3,953
2022-10-29 11:00,0.08,0.97,105e3,899
2022-10-29 12:00,0.09,0.97,106e3,1.03e3
2022-10-29 13:00,0.08,0.97,106e3,1.08e3
2022-10-29 14:00,0.08,0.97,107e3,1.16e3
2022-10-29 15:00,0.08,0.97,107e3,1.08e3
2022-10-29 16:00,0.08,0.98,107e3,1.15e3
2022-10-29 17:00,0.08,0.98,105e3,1.2e3
2022-10-29 18:00,0.08,0.98,105e3,928
2022-10-29 19:00,0.08,0.98,106e3,980
2022-10-29 20:00,0.08,0.98,105e3,973
2022-10-29 21:00,0.09,0.98,106e3,1.05e3
2022-10-29 22:00,0.09,0.98,106e3,1e3
2022-10-29 23:00,0.10,0.98,107e3,990
2022-10-30 00:00,0.09,0.98,106e3,977
2022-10-30 01:00,0.10,0.98,106e3,850
2022-10-30 02:00,0.09,0.98,108e3,808
2022-10-30 03:00,0.09,0.98,107e3,805
2022-10-30 04:00,0.09,0.98,106e3,862
2022-10-30 05:00,0.08,0.98,106e3,917
2022-10-30 06:00,0.09,0.98,106e3,872
2022-10-30 07:00,0.10,0.98,106e3,895
2022-10-30 08:00,0.09,0.99,109e3,1.32e3
2022-10-30 09:00,0.09,0.99,105e3,830
2022-10-30 10:00,0.09,0.99,106e3,872
2022-10-30 11:00,0.09,0.99,105e3,1.02e3
2022-10-30 12:00,0.10,0.99,106e3,1e3
2022-10-30 13:00,0.09,0.99,105e3,1.02e3
2022-10-30 14:00,0.10,0.99,106e3,965
2022-10-30 15:00,0.09,0.99,106e3,1.08e3
2022-10-30 16:00,0.09,0.99,106e3,987
2022-10-30 17:00,0.09,0.99,106e3,923
2022-10-30 18:00,0.10,0.99,106e3,923
2022-10-30 19:00,0.09,0.99,105e3,892
2022-10-30 20:00,0.08,0.99,105e3,918
2022-10-30 21:00,0.09,0.99,105e3,949
2022-10-30 22:00,0.09,0.99,109e3,868
2022-10-30 23:00,0.09,0.99,106e3,1.01e3
2022-10-31 00:00,0.10,0.99,107e3,974
2022-10-31 01:00,0.09,0.99,106e3,948
2022-10-31 02:00,0.08,0.99,105e3,914
2022-10-31 03:00,0.08,0.99,105e3,949
2022-10-31 04:00,0.08,0.99,104e3,999
2022-10-31 05:00,0.08,0.99,105e3,1.12e3
2022-10-31 06:00,0.09,0.99,106e3,1.01e3
2022-10-31 07:00,0.09,0.99,106e3,939
2022-10-31 08:00,0.10,0.99,110e3,1.73e3
2022-10-31 09:00,0.09,0.99,106e3,949
2022-10-31 10:00,0.08,0.99,106e3,1.05e3
2022-10-31 11:00,0.09,0.99,108e3,949
2022-10-31 12:00,0.09,0.99,108e3,978
2022-10-31 13:00,0.10,0.99,108e3,1e3
2022-10-31 14:00,0.09,0.99,107e3,1.02e3
2022-10-31 15:00,0.09,1.00,108e3,989
2022-10-31 16:00,0.09,1.00,107e3,1.02e3
2022-10-31 17:00,0.09,1.00,107e3,1.02e3
2022-10-31 18:00,0.09,1.00,108e3,962
2022-10-31 19:00,0.09,1.00,107e3,993
2022-10-31 20:00,0.09,1.00,107e3,959
2022-10-31 21:00,0.09,1.00,106e3,895
2022-10-31 22:00,0.08,1.00,106e3,913
2022-10-31 23:00,0.09,1.00,106e3,996
2022-11-01 00:00,0.08,1.00,106e3,860
2022-11-01 01:00,0.08,1.00,107e3,913
2022-11-01 02:00,0.09,1.00,108e3,936
2022-11-01 03:00,0.09,1.00,108e3,856
2022-11-01 04:00,0.09,1.00,107e3,1.02e3
2022-11-01 05:00,0.09,1.00,107e3,879
2022-11-01 06:00,0.08,1.00,106e3,948
2022-11-01 07:00,0.08,1.00,106e3,1.17e3
2022-11-01 08:00,0.08,1.00,109e3,1.99e3
2022-11-01 09:00,0.08,1.00,106e3,1.13e3
2022-11-01 10:00,0.08,1.00,106e3,1.18e3
2022-11-01 11:00,0.08,1.00,105e3,1.17e3
2022-11-01 12:00,0.09,1.00,107e3,1.39e3
2022-11-01 13:00,0.08,1.00,108e3,1.49e3
2022-11-01 14:00,0.08,1.00,108e3,3.27e3
2022-11-01 15:00,0.08,1.00,107e3,1.18e3
2022-11-01 16:00,0.08,1.00,107e3,1.06e3
2022-11-01 17:00,0.09,1.00,106e3,905
2022-11-01 18:00,0.09,1.00,109e3,840
2022-11-01 19:00,0.08,1.00,113e3,892
2022-11-01 20:00,0.09,1.00,116e3,899
2022-11-01 21:00,0.08,1.00,116e3,796
2022-11-01 22:00,0.08,1.00,116e3,749
2022-11-01 23:00,0.08,1.00,116e3,759
2022-11-02 00:00,0.08,1.00,119e3,1.05e3
2022-11-02 01:00,0.09,1.00,116e3,851
2022-11-02 02:00,0.08,1.00,116e3,793
2022-11-02 03:00,0.08,1.00,117e3,809
2022-11-02 04:00,0.07,1.00,116e3,784
2022-11-02 05:00,0.08,1.01,116e3,900
2022-11-02 06:00,0.08,1.01,116e3,834
2022-11-02 07:00,0.09,1.01,116e3,937
2022-11-02 08:00,0.09,1.01,120e3,1.75e3
2022-11-02 09:00,0.09,1.01,115e3,857
2022-11-02 10:00,0.09,1.01,117e3,871
2022-11-02 11:00,0.08,1.01,116e3,873
2022-11-02 12:00,0.09,1.00,118e3,879
2022-11-02 13:00,0.09,0.98,123e3,814
2022-11-02 14:00,,,125e3,804
2022-11-02 15:00,,,126e3,797
2022-11-02 16:00,,,130e3,691
2022-11-02 17:00,,,125e3,687
2022-11-02 18:00,,,128e3,707
2022-11-02 19:00,,,126e3,676
2022-11-02 20:00,,,126e3,633
2022-11-02 21:00,,,126e3,653
2022-11-02 22:00,,,126e3,726
2022-11-02 23:00,,,126e3,676
2022-11-03 00:00,,,127e3,703
2022-11-03 01:00,,,126e3,772
2022-11-03 02:00,,,127e3,752
2022-11-03 03:00,,,128e3,742
2022-11-03 04:00,,,126e3,836
2022-11-03 05:00,,,127e3,651
2022-11-03 06:00,,,127e3,703
2022-11-03 07:00,,,127e3,695
2022-11-03 08:00,,,132e3,2.03e3
2022-11-03 09:00,0.15,0.86,126e3,595
2022-11-03 10:00,0.09,0.90,129e3,382
2022-11-03 11:00,0.05,0.92,60.7e3,382
2022-11-03 12:00,0.06,0.92,36.1e3,469
2022-11-03 13:00,0.03,0.93,22.8e3,393
2022-11-03 14:00,0.05,0.93,59.7e3,355
2022-11-03 15:00,0.07,0.93,130e3,515
2022-11-03 16:00,0.07,0.94,130e3,488
2022-11-03 17:00,0.07,0.94,131e3,531
2022-11-03 18:00,0.07,0.95,131e3,513
2022-11-03 19:00,0.07,0.95,130e3,525
2022-11-03 20:00,0.07,0.95,130e3,433
2022-11-03 21:00,0.07,0.95,130e3,404
2022-11-03 22:00,0.07,0.96,130e3,431
2022-11-03 23:00,0.06,0.96,129e3,417
2022-11-04 00:00,0.07,0.96,130e3,420
2022-11-04 01:00,0.07,0.96,130e3,457
2022-11-04 02:00,0.06,0.96,130e3,385
2022-11-04 03:00,0.07,0.96,130e3,531
